date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:45:57	69912/69912	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Feb%202022%2010:45:57%20GMT	https://www.bes.ae/	C:/My%20Web%20Sites/product/www.bes.ae/index.html	(from )
16:45:57	82/82	---M-Z	200	added ('OK')	text/plain	date:Tue,%2008%20Feb%202022%2010:45:57%20GMT	https://www.bes.ae/robots.txt		(from )
16:45:58	122922/122922	---M-Z	200	added ('OK')	text/css	etag:%221cb45679f6cc9c03d44fa3c00415cb9e%22	https://uploads-ssl.webflow.com/5ccaa276b7202a688a2b135c/css/besae.webflow.446eaede7.min.css	C:/My%20Web%20Sites/product/uploads-ssl.webflow.com/5ccaa276b7202a688a2b135c/css/besae.webflow.446eaede7.min.css	(from https://www.bes.ae/)
16:45:58	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/product/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.bes.ae/)
16:45:58	1609/1609	---M--	200	added ('OK')	image/jpeg	etag:%226b367d4ab1a03794938b333f634f1e90%22	https://uploads-ssl.webflow.com/5ccaa276b7202a688a2b135c/5cd275e1562e3073f0777d8d_BES-logo-faviconsml-black.jpg	C:/My%20Web%20Sites/product/uploads-ssl.webflow.com/5ccaa276b7202a688a2b135c/5cd275e1562e3073f0777d8d_BES-logo-faviconsml-black.jpg	(from https://www.bes.ae/)
16:45:59	5599/5599	---M--	200	added ('OK')	image/jpeg	etag:%22888f8bf74c39f80dd740947f2f1b3588%22	https://uploads-ssl.webflow.com/5ccaa276b7202a688a2b135c/5cd275e64bd9d18472fe90bf_BES-logo-favicon-black.jpg	C:/My%20Web%20Sites/product/uploads-ssl.webflow.com/5ccaa276b7202a688a2b135c/5cd275e64bd9d18472fe90bf_BES-logo-favicon-black.jpg	(from https://www.bes.ae/)
16:45:59	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2008%20Feb%202022%2010:46:00%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/product/www.googletagmanager.com/gtm.45445.delayed	(from https://www.bes.ae/)
16:46:00	103068/103068	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Feb%202022%2010:46:00%20GMT	https://www.bes.ae/minimal-sliding-windows-doors	C:/My%20Web%20Sites/product/www.bes.ae/minimal-sliding-windows-doors.html	(from https://www.bes.ae/)
16:46:00	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2008%20Feb%202022%2010:46:00%20GMT	https://www.bes.ae/%c3%a2%c2%80%c2%9chttps://www.bes.ae/%c3%a2%c2%80%c2%9d/	C:/My%20Web%20Sites/product/www.bes.ae/%c3%a2%c2%80%c2%9chttps_/www.bes.ae/%c3%a2%c2%80%c2%9d/index.html	(from https://www.bes.ae/)
16:46:00	39429/39429	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Feb%202022%2010:46:01%20GMT	https://www.bes.ae/minimal-pivot-windows-doors	C:/My%20Web%20Sites/product/www.bes.ae/minimal-pivot-windows-doors.html	(from https://www.bes.ae/)
16:46:01	30755/30755	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Feb%202022%2010:46:02%20GMT	https://www.bes.ae/guillotine-automatic-multi-leaf-vertical-sliding-windows-doors	C:/My%20Web%20Sites/product/www.bes.ae/guillotine-automatic-multi-leaf-vertical-sliding-windows-doors.html	(from https://www.bes.ae/)
16:46:01	27295/27295	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Feb%202022%2010:46:02%20GMT	https://www.bes.ae/bes-projects/sustainability-pavillion-2	C:/My%20Web%20Sites/product/www.bes.ae/bes-projects/sustainability-pavillion-2.html	(from https://www.bes.ae/)
16:46:02	17589/17589	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Feb%202022%2010:46:03%20GMT	https://www.bes.ae/scope/unitized-curtain-wall	C:/My%20Web%20Sites/product/www.bes.ae/scope/unitized-curtain-wall.html	(from https://www.bes.ae/)
16:46:02	17164/17164	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Feb%202022%2010:46:03%20GMT	https://www.bes.ae/scope/stick-curtain-wall	C:/My%20Web%20Sites/product/www.bes.ae/scope/stick-curtain-wall.html	(from https://www.bes.ae/)
16:46:03	17300/17300	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Feb%202022%2010:46:04%20GMT	https://www.bes.ae/scope/cable-support-system	C:/My%20Web%20Sites/product/www.bes.ae/scope/cable-support-system.html	(from https://www.bes.ae/)
16:46:03	14497/14497	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Feb%202022%2010:46:04%20GMT	https://www.bes.ae/scope/point-fix	C:/My%20Web%20Sites/product/www.bes.ae/scope/point-fix.html	(from https://www.bes.ae/)
16:46:04	14493/14493	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Feb%202022%2010:46:05%20GMT	https://www.bes.ae/scope/windows-and-doors	C:/My%20Web%20Sites/product/www.bes.ae/scope/windows-and-doors.html	(from https://www.bes.ae/)
16:46:04	17029/17029	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Feb%202022%2010:46:05%20GMT	https://www.bes.ae/scope/metal-cladding	C:/My%20Web%20Sites/product/www.bes.ae/scope/metal-cladding.html	(from https://www.bes.ae/)
16:46:05	17046/17046	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Feb%202022%2010:46:06%20GMT	https://www.bes.ae/scope/stone-cladding	C:/My%20Web%20Sites/product/www.bes.ae/scope/stone-cladding.html	(from https://www.bes.ae/)
16:46:05	17167/17167	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Feb%202022%2010:46:06%20GMT	https://www.bes.ae/scope/canopies	C:/My%20Web%20Sites/product/www.bes.ae/scope/canopies.html	(from https://www.bes.ae/)
16:46:06	16898/16898	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Feb%202022%2010:46:07%20GMT	https://www.bes.ae/scope/skylights	C:/My%20Web%20Sites/product/www.bes.ae/scope/skylights.html	(from https://www.bes.ae/)
16:46:06	14455/14455	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Feb%202022%2010:46:07%20GMT	https://www.bes.ae/scope/roofing	C:/My%20Web%20Sites/product/www.bes.ae/scope/roofing.html	(from https://www.bes.ae/)
16:46:07	14510/14510	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Feb%202022%2010:46:08%20GMT	https://www.bes.ae/scope/balustrades-and-railings	C:/My%20Web%20Sites/product/www.bes.ae/scope/balustrades-and-railings.html	(from https://www.bes.ae/)
16:46:07	14462/14462	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Feb%202022%2010:46:08%20GMT	https://www.bes.ae/scope/shading	C:/My%20Web%20Sites/product/www.bes.ae/scope/shading.html	(from https://www.bes.ae/)
16:46:08	16452/16452	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Feb%202022%2010:46:09%20GMT	https://www.bes.ae/scope/pergolas	C:/My%20Web%20Sites/product/www.bes.ae/scope/pergolas.html	(from https://www.bes.ae/)
16:46:08	16722/16722	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Feb%202022%2010:46:09%20GMT	https://www.bes.ae/scope/store-fronts-interiors	C:/My%20Web%20Sites/product/www.bes.ae/scope/store-fronts-interiors.html	(from https://www.bes.ae/)
16:46:09	83198/83198	---M--	200	added ('OK')	image/jpeg	etag:%224899c1680f69de4c51dda69d53c186d0%22	https://uploads-ssl.webflow.com/5ccaa276b7202a16f52b1381/5ed75c5901927f0955ce80bf_EXP-C-Minimal-Sliding-Windows-%26-Doors2.jpg	C:/My%20Web%20Sites/product/uploads-ssl.webflow.com/5ccaa276b7202a16f52b1381/5ed75c5901927f0955ce80bf_EXP-C-Minimal-Sliding-Windows-&-Doors2.jpg	(from https://www.bes.ae/)
16:46:10	68876/68876	---M--	200	added ('OK')	image/jpeg	etag:%226c48e187cc719a208af57a7e5c06efbc%22	https://uploads-ssl.webflow.com/5ccaa276b7202a16f52b1381/5ed75c675c2d8d02dc1cb6b6_EXP-P-Minimal-Pivot-Windows-%26-Doors2.jpg	C:/My%20Web%20Sites/product/uploads-ssl.webflow.com/5ccaa276b7202a16f52b1381/5ed75c675c2d8d02dc1cb6b6_EXP-P-Minimal-Pivot-Windows-&-Doors2.jpg	(from https://www.bes.ae/)
16:46:10	59541/59541	---M--	200	added ('OK')	image/jpeg	etag:%22c31f217ea1ca9ca77c3046b637a7f9ee%22	https://uploads-ssl.webflow.com/5ccaa276b7202a16f52b1381/5ed75c8fa37f060afa9c2362_EXP-X-Minimal-Fix-%26-Hinge-Windows-%26-Doors2.jpg	C:/My%20Web%20Sites/product/uploads-ssl.webflow.com/5ccaa276b7202a16f52b1381/5ed75c8fa37f060afa9c2362_EXP-X-Minimal-Fix-&-Hinge-Windows-&-Doors2.jpg	(from https://www.bes.ae/)
16:46:11	30649/30649	---M--	200	added ('OK')	image/jpeg	etag:%2256451af8568cc08bbce2fd019a74551e%22	https://uploads-ssl.webflow.com/5ccaa276b7202a16f52b1381/5ed75c9e150cb050afa41a26_EXP-F-Minimal-Curtain-Wall2.jpg	C:/My%20Web%20Sites/product/uploads-ssl.webflow.com/5ccaa276b7202a16f52b1381/5ed75c9e150cb050afa41a26_EXP-F-Minimal-Curtain-Wall2.jpg	(from https://www.bes.ae/)
16:46:12	81537/81537	---M--	200	added ('OK')	image/jpeg	etag:%220a12edd50e4ec6e150a0e951e1919117%22	https://uploads-ssl.webflow.com/5ccaa276b7202a16f52b1381/5ed760438de2cd30edde5faf_EXP-R-Glass-Balustrades-%26-Rails4.jpg	C:/My%20Web%20Sites/product/uploads-ssl.webflow.com/5ccaa276b7202a16f52b1381/5ed760438de2cd30edde5faf_EXP-R-Glass-Balustrades-&-Rails4.jpg	(from https://www.bes.ae/)
16:46:12	71357/71357	---M--	200	added ('OK')	image/jpeg	etag:%222a20b60967f33ec00c1f47dc6d410292%22	https://uploads-ssl.webflow.com/5ccaa276b7202a16f52b1381/5ed75cb7a37f0640129c23a2_EXP-G-Minimal-Vertical-Sliding-Windows-%26-Doors2.jpg	C:/My%20Web%20Sites/product/uploads-ssl.webflow.com/5ccaa276b7202a16f52b1381/5ed75cb7a37f0640129c23a2_EXP-G-Minimal-Vertical-Sliding-Windows-&-Doors2.jpg	(from https://www.bes.ae/)
